temperature-maximale,temperature-minimale,vitesse-du-vent,temperature-du-vent,precipitations,humidite,visibilite,couverture-nuageuse,indice-de-chaleur,point-de-rosee,pression,heure-du-lever-du-soleil,heure-du-coucher-du-soleil,duree-du-jour,Date
29°,27°,15km/h,27°,4mm,79%,9.375km,59%,33,24°C,1013hPa,06:25:00,18:14:00,11:49:0,2020/01/01
31°,27°,18km/h,27°,0mm,74%,10km,14%,34,24°C,1014hPa,06:25:00,18:14:00,11:49:0,2020/01/02
32°,26°,19km/h,26°,1mm,81%,10km,26%,35,24°C,1015hPa,06:25:00,18:15:00,11:50:0,2020/01/03
30°,25°,19km/h,25°,0mm,36%,10km,6%,29,17°C,1015hPa,06:26:00,18:15:00,11:49:0,2020/01/04
31°,27°,20km/h,27°,,64%,10km,1%,32,21°C,1013hPa,06:26:00,18:16:00,11:50:0,2020/01/05
29°,28°,21km/h,28°,,67%,10km,4%,33,23°C,1012hPa,06:27:00,18:16:00,11:49:0,2020/01/06
28°,27°,21km/h,27°,,74%,10km,8%,30,23°C,1012hPa,06:27:00,18:17:00,11:50:0,2020/01/07
27°,26°,22km/h,26°,,80%,10km,20%,30,23°C,1013hPa,06:27:00,18:17:00,11:50:0,2020/01/08
28°,26°,19km/h,26°,,82%,10km,14%,31,23°C,1013hPa,06:28:00,18:18:00,11:50:0,2020/01/09
28°,26°,17km/h,26°,,84%,10km,31%,31,24°C,1014hPa,06:28:00,18:18:00,11:50:0,2020/01/10
28°,26°,17km/h,26°,0mm,87%,10km,21%,31,24°C,1015hPa,06:28:00,18:19:00,11:51:0,2020/01/11
28°,26°,18km/h,26°,2mm,85%,9.75km,36%,31,24°C,1013hPa,06:29:00,18:19:00,11:50:0,2020/01/12
28°,26°,18km/h,26°,2mm,85%,9.875km,48%,32,24°C,1012hPa,06:29:00,18:20:00,11:51:0,2020/01/13
29°,27°,14km/h,27°,15mm,87%,9km,59%,32,25°C,1011hPa,06:29:00,18:20:00,11:51:0,2020/01/14
29°,27°,15km/h,27°,2mm,85%,9.75km,41%,33,25°C,1012hPa,06:30:00,18:21:00,11:51:0,2020/01/15
29°,27°,21km/h,27°,1mm,87%,9.875km,28%,33,25°C,1014hPa,06:30:00,18:21:00,11:51:0,2020/01/16
29°,26°,19km/h,26°,1mm,87%,10km,30%,33,25°C,1014hPa,06:30:00,18:21:00,11:51:0,2020/01/17
28°,26°,17km/h,26°,2mm,87%,9.875km,45%,32,24°C,1014hPa,06:31:00,18:22:00,11:51:0,2020/01/18
28°,26°,19km/h,26°,1mm,86%,10km,31%,32,24°C,1013hPa,06:31:00,18:22:00,11:51:0,2020/01/19
28°,26°,17km/h,26°,1mm,84%,10km,38%,32,24°C,1012hPa,06:31:00,18:23:00,11:52:0,2020/01/20
28°,27°,17km/h,27°,1mm,83%,10km,33%,32,23°C,1013hPa,06:31:00,18:23:00,11:52:0,2020/01/21
29°,27°,17km/h,27°,0mm,81%,10km,14%,32,24°C,1013hPa,06:31:00,18:23:00,11:52:0,2020/01/22
29°,27°,16km/h,27°,1mm,83%,10km,30%,33,24°C,1013hPa,06:32:00,18:24:00,11:52:0,2020/01/23
29°,27°,15km/h,27°,1mm,85%,9.875km,57%,33,25°C,1012hPa,06:32:00,18:24:00,11:52:0,2020/01/24
28°,27°,19km/h,27°,1mm,86%,9.875km,43%,32,25°C,1013hPa,06:32:00,18:24:00,11:52:0,2020/01/25
